# RadCal SD array, extracted from FDS Source/rcal.f90.
# source: https://raw.githubusercontent.com/firemodels/fds/61bd9cc6317ea4f47f46de3d52268e858f0ca8b0/Source/rcal.f90
# retrieved: 2026-09-22
# reference: W. L. Grosshandler (1993), 'RadCal: A Narrow-Band Model for Radiation Calculations in a Combustion Environment', NIST Technical Note 1402; as implemented in FDS Source/rcal.f90
# licence: public domain (a work of the US federal government).
# STATUS: REFERENCE DATA -- transcribed, not modelled and not measured here.
# note: H2O narrow-band mean absorption coefficient. RadCal's H2O routine is a bilinear interpolation in this table over (temperature, wavenumber) and nothing else.
# units: cm-1 per atm of partial pressure, referred to STP density (NASA SP-3080).
wavenumber_cm-1,k_300K,k_600K,k_1000K,k_1500K,k_2000K,k_2500K
7675,4.76e-05,7.5e-05,0.00114,0.00124,0.00175,0.00187
7700,3.05e-05,5.9e-05,0.000529,0.00114,0.0016,0.00185
7725,2.4e-05,4.8e-05,0.000293,0.000842,0.00141,0.00184
7750,1.7e-05,3.6e-05,0.000122,0.000435,0.00124,0.00182
7775,1.2e-05,2.4e-05,0.000121,0.000435,0.00118,0.00187
7800,8.1e-06,1.7e-05,0.000103,0.000439,0.00126,0.00192
7825,5.5e-06,1.2e-05,8.66e-05,0.000367,0.00119,0.00193
7850,3.9e-06,9e-06,7.16e-05,0.000351,0.00116,0.00194
7875,2.95e-06,8.3e-06,3.73e-05,0.000254,0.00114,0.00196
7900,2.3e-06,8e-06,4.65e-05,0.000298,0.00117,0.00201
7925,2.25e-06,8.2e-06,3.67e-05,0.000252,0.00116,0.00205
7950,2.2e-06,8.4e-06,3.71e-05,0.000268,0.00127,0.00211
7975,2.23e-06,9.2e-06,3.96e-05,0.000273,0.00128,0.00216
8000,2.35e-06,1.03e-05,4.15e-05,0.000263,0.00121,0.00221
8025,2.8e-06,1.25e-05,6.33e-05,0.000363,0.00136,0.00231
8050,3.1e-06,1.5e-05,9.79e-05,0.000492,0.0015,0.00241
8075,3.7e-06,1.8e-05,0.00012,0.00058,0.00167,0.00251
8100,4.2e-06,2e-05,9.87e-05,0.000509,0.00171,0.00257
8125,5.1e-06,2.4e-05,0.000134,0.000547,0.00173,0.00267
8150,6e-06,2.7e-05,0.000121,0.000534,0.00172,0.00274
8175,7.2e-06,3e-05,0.000204,0.000684,0.00184,0.00285
8200,8.2e-06,3.3e-05,0.000276,0.000819,0.00199,0.00297
8225,1e-05,3.8e-05,0.000317,0.000859,0.00214,0.00308
8250,1.25e-05,4.2e-05,0.00024,0.000818,0.0022,0.00317
8275,1.45e-05,5e-05,0.000452,0.00109,0.00238,0.00293
8300,1.75e-05,5.6e-05,0.000301,0.000941,0.00243,0.00342
8325,1.98e-05,6.3e-05,0.00028,0.00107,0.0026,0.00353
8350,2.3e-05,7.1e-05,0.000276,0.00109,0.00272,0.00365
8375,2.8e-05,8.3e-05,0.000369,0.00127,0.00295,0.00377
8400,3.3e-05,8.9e-05,0.00043,0.00139,0.00306,0.00385
8425,3.6e-05,9.5e-05,0.000371,0.00135,0.00306,0.00384
8450,3.9e-05,9.8e-05,0.000434,0.00147,0.00316,0.00385
8475,4e-05,9.9e-05,0.000397,0.00143,0.00318,0.00384
8500,4e-05,9.8e-05,0.000364,0.00141,0.00317,0.00381
8525,3.9e-05,9.4e-05,0.00039,0.00142,0.00314,0.00376
8550,3.8e-05,9e-05,0.00038,0.00145,0.00318,0.00375
8575,3.8e-05,9e-05,0.00038,0.00145,0.00318,0.00375
8600,3.3e-05,7.5e-05,0.000358,0.00138,0.0031,0.00372
8625,2.7e-05,5.8e-05,0.000382,0.00143,0.00315,0.00369
8650,2.4e-05,5e-05,0.000343,0.00136,0.00306,0.00363
8675,2e-05,4.5e-05,0.000309,0.00134,0.00306,0.00359
8700,1.8e-05,4e-05,0.000281,0.00127,0.00294,0.00341
8725,1.7e-05,3.6e-05,0.000276,0.00124,0.0029,0.00336
8750,1.6e-05,3.1e-05,0.000272,0.00122,0.00283,0.00323
8775,1.4e-05,2.8e-05,0.000241,0.00117,0.00273,0.00309
8800,1.2e-05,2.5e-05,0.000237,0.00115,0.00269,0.00297
8825,1e-05,2.2e-05,0.000218,0.00111,0.00259,0.00284
8850,9.2e-06,1.98e-05,0.000206,0.00105,0.00246,0.00269
8875,8.1e-06,1.7e-05,0.000205,0.001,0.00235,0.00257
8900,7.2e-06,1.6e-05,0.000177,0.000921,0.0022,0.00245
8925,6.5e-06,1.5e-05,0.000172,0.000834,0.00205,0.00232
8950,5.9e-06,1.3e-05,0.000147,0.000735,0.00194,0.00218
8975,5.1e-06,1.1e-05,0.00012,0.000629,0.00177,0.00203
9000,4.6e-06,9.5e-06,9.6e-05,0.000513,0.00154,0.0018
9025,4.2e-06,8e-06,5.78e-05,0.000314,0.00123,0.00154
9050,3.8e-06,7.2e-06,5.29e-05,0.000292,0.00114,0.00137
9075,3.3e-06,6.6e-06,4.85e-05,0.000269,0.00102,0.00122
9100,2.9e-06,5.8e-06,4.3e-05,0.000239,0.000896,0.00107
9125,2.7e-06,5.2e-06,2.59e-05,0.000193,0.000748,0.000944
9150,2.4e-06,4.5e-06,3.16e-05,0.000207,0.00671,0.000848
9175,2.2e-06,4e-06,4.44e-06,6.02e-05,0.000516,0.00075
9200,1.9e-06,3.6e-06,3.24e-06,4.6e-05,0.000439,0.000688
9225,1.7e-06,3.2e-06,1.8e-06,3.21e-05,0.000384,0.000653
9250,1.4e-06,2.8e-06,1.71e-06,3.44e-05,0.00034,0.000616
9275,1.3e-06,2.5e-06,2.99e-06,6e-05,0.000343,0.000619
9300,1.2e-06,2.2e-06,2.99e-06,6e-05,0.000343,0.000619
